고객의도,고객질문(요청)
2,OOO캐피탈 아파트 보유자 신용대출의 상품 설명을 부탁합니다.
2,주말에 대출이 가능할까요? 
2,주말 소액대출로 소액을 빌린다고 해도 이자가 높기 때문에 금방 부담이 되기 때문에 빠르게 갚는게 좋겠죠?
2,일반적인 직장인 대출 상품의 직장인 재직기간은 1년 이상 아닌가요?
2,OO은행 이지페이론 중도상환수수료는 어떻게 되나요?
2,아무런 조건없이 신용대출 받을 수 있을까요?
2,신용대출은 어떻게 받나요?
2,신용대출 심사 받는게 많이 까다롭나요?
2,교보바로받는 신용대출에 대한 광고를 봤습니다. 정말 바로 받을 수 있나요?
2,신용대출을 받고 싶은데 나이제한이 있나요?
2,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.
2,신용대출 문의드립니다.
2,신용대출은 어떻게 받을 수 있나요?
2,신용대출을 인터넷으로 신청 할 수 있나요?
2,신용불량자도 보험계약대출이 가능한가요?
2,신용대출에 나이제한 있나요?
2,신용대출에 나이제한 있나요?
2,신용대출을 받을 수 있나요?
2,저 신용대출을 받고 싶은데 가능하나요?
2,저 신용대출 만기가 다 됐거든요. 혹시 연장할 수 있나요?
2,저 대출을 좀 받고 싶은데 어떻게 하면 되나요?
2,OO비상금대출이 뭔가요?
2,저 대출을 연장할 수 있나요?
2,신용대출을 받고 싶은데 나이제한이 있나요?
2,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.
2,신용대출 문의드립니다.
2,신용대출 유선으로도 가능하죠?
2,대출받으려는데 대출신용등급 알아보려구요
2,신용회복을 신청하려면 대출금 전액 상환해야 하나요?
2,신용등급 조회 할려고요
2,제 앞으로 신용대출이 가능한지 상담좀 받고 싶어요
2,신용대출 신청은 반드시 영업점 방문해야 하나요?
2,조건없이 신용대출 받을 수 있나요?
2,제 앞으로 신용대출이 가능한지 상담좀 받고 싶어요
3,자동차 담보 대출을 알아보고 있어요
3,자동차 구입시에 대출이 가능한가요?
3,자동차를 담보로 대출가능상품이 있나요?
3,차를 새로 사려고 하는데 대출을 좀 받을 수 있을까요?
3,자동차 대출 받을 수 있어요?
